metodo,categoria,potencial_renda,baixo_custo,baixo_esforco,rapidez_1oR$,baixa_barreira_skill,escalabilidade,viabilidade_BR,score_composite,renda_realista
Servicos com IA (nicho),Servico,7,7,7,8,6,7,8,71.7,R$400-5.000/mes
Copywriting,Servico,6,9,7,6,6,6,8,68.8,R$300-5.000/mes
Design grafico,Servico,6,7,6,6,5,6,8,63.5,R$400-6.000/mes
Edicao de video,Servico,7,5,4,6,5,6,7,58.0,R$500-8.000/mes
Assistente Virtual,Servico,5,9,4,8,8,3,8,63.5,R$1.500-5.000/mes
Social media,Servico,6,8,6,6,6,6,8,66.0,R$500-6.000/mes
Gestao de trafego,Servico,8,5,6,4,4,8,8,63.5,R$500-4.000/cliente
Reels/TikTok/Shorts,Conteudo,5,9,6,5,7,8,6,64.4,R$0-200 fundo; marca depois
YouTube faceless/IA,Conteudo,5,5,4,3,5,7,4,46.8,R$0-300; so 3% monetiza
Blog SEO + AdSense,Conteudo,6,8,5,2,5,8,4,54.2,R$0-200; 12-18 meses
Narracao IA (servico),Conteudo,5,8,6,8,6,5,7,63.6,R$0-1.500/mes
Podcast,Conteudo,3,5,2,1,4,6,4,35.1,"~R$0; 0,1% viavel"
Etsy printables,Produto,6,9,6,5,6,8,7,66.8,R$0-800; 65% <US$100/ano
Templates Canva,Produto,6,10,6,4,7,8,7,68.1,R$0-1.000/mes
Amazon KDP low-content,Produto,5,10,6,5,6,7,6,63.3,R$0-1.000; saturado
Microstock IA,Produto,4,7,6,3,5,8,7,56.8,R$0-600/mes
Infoproduto afiliado organico,Afiliado,7,9,3,3,4,8,9,62.6,R$0-500; 95% desistem
Mercado Livre/Shopee afiliado,Afiliado,4,9,5,5,7,6,8,61.9,R$50-400/mes
Tutoria de idiomas (italki/Preply),Microwork,5,9,6,8,6,3,8,64.2,R$2.500-3.500 part-time
Anotacao de dados IA (Outlier),Microwork,5,9,6,7,6,3,5,58.0,R$2.300-4.600 se houver tarefa; risco
UGC creator,Microwork,5,7,5,3,5,5,5,50.2,meses ate o 1o pagamento
Pesquisas (so Prolific),Microwork,2,10,7,6,9,2,6,58.0,R$135-430/mes; resto e cilada
