produto,idade_dominante,genero_%F,comprador!=usuario,demanda_0-10,prova_venda_0-10,concorrencia_paga_real_0-10,risco_anuncio_0-10,brecha_0-10,facilidade_IA_0-10,AOV_real_US$,AOV_bundle_US$,CPC_real,CVR_real,CPA_real_US$,breakeven_AOV_US$,ROAS_real,ROAS_otim,ads_ativos_meta,invest_p/30vendas_US$/mes
Chair Yoga senior,50-65,75,parcial,9,9,5,6,8,9,12.0,22.0,0.55,0.016,34.4,38.2,0.35,1.89,3102,1031
Prevencao de quedas,45-60,70,SIM,8,7,4,7,7,9,10.0,20.0,0.8,0.014,57.1,63.5,0.18,1.12,240,1714
Jogos cognitivos (LP),50-70,65,parcial,9,8,2,6,4,8,11.0,22.0,0.42,0.022,19.1,21.2,0.58,3.14,5,573
Binder de espolio,50-68,70,misto,9,9,3,3,6,7,22.0,39.0,0.85,0.025,34.0,37.8,0.65,3.19,298,1020
Organizador cuidador,45-60,59,SIM,8,6,2,4,7,8,16.0,30.0,0.75,0.02,37.5,41.7,0.43,2.38,7,1125
Devocional cristao,30-60,80,nao,9,8,8,5,4,9,11.0,24.0,0.32,0.032,10.0,11.1,1.1,7.2,579,300
Caca-palavras (LP),45-65,70,parcial,8,9,2,2,5,6,12.0,22.0,0.3,0.026,11.5,12.8,1.04,5.5,71,346
Planejador jardinagem,35-60,65,nao,8,6,2,2,7,9,10.0,20.0,0.45,0.022,20.5,22.7,0.49,2.8,7,614
Plano anti-inflamatorio,35-60,70,nao,8,8,7,9,6,8,13.0,30.0,0.8,0.017,47.1,52.3,0.28,1.92,343,1412
Genealogia,55-70,60,parcial,8,8,2,3,6,9,14.0,32.0,0.5,0.023,21.7,24.2,0.64,4.17,50,652
ADHD planner (wild),25-45,75,nao,9,9,4,3,6,8,17.0,35.0,0.5,0.022,22.7,25.3,0.75,3.06,120,682
Autocuidado/journal (wild),20-40,80,nao,9,8,5,4,6,8,18.0,31.0,0.45,0.022,20.5,22.7,0.88,2.71,200,614
